V=1000 	 E=3000 
depth	media	desvio		perc.media
0	0.000	0.000		0.000
1	5.746	17.343		0.006
2	300.678	176.947		0.301
3	897.648	123.982		0.898
4	998.256	3.321		0.998
5	999.000	0.000		0.999
6	999.000	0.000		0.999
7	999.000	0.000		0.999
8	999.000	0.000		0.999
9	999.000	0.000		0.999
10	999.000	0.000		0.999
11	999.000	0.000		0.999
12	999.000	0.000		0.999
13	999.000	0.000		0.999
14	999.000	0.000		0.999
15	999.000	0.000		0.999
16	999.000	0.000		0.999
17	999.000	0.000		0.999
18	999.000	0.000		0.999
19	999.000	0.000		0.999
20	999.000	0.000		0.999
